Title,Summary,Category,Link
"Supreme Court judgment makes Uttarakhand liable to restore, repair Corbett Tiger Reserve","The Supreme Court on Monday (November 17, 2025) directed the State of Uttarakhand to repair the ecological damage caused to the Corbett Tiger Reserve through illegal tree-felling and unauthorised cons...",NATIONAL,https://www.thehindu.com/news/national/supreme-court-judgment-makes-uttarakhand-liable-to-restore-repair-corbett-tiger-reserve/article70289755.ece
Indian oil companies secure their first ever deal to import U.S. LPG into India,"India’s public-sector oil companies have successfully concluded a one-year deal to import liquified petroleum gas (LPG) from the U.S. Gulf coast, Union Minister for Petroleum and Natural Gas Hardeep S...",NATIONAL,https://www.thehindu.com/business/Economy/indian-oil-companies-secure-their-first-ever-deal-to-import-us-lpg-into-india/article70289478.ece
27 lakh MGNREGA workers deleted between October 10 and November 14,"Nearly 27 lakh workers’ names were deleted from the database of MGNREGA, the Centre’s rural jobs scheme, between October 10 and November 14 this year, far exceeding the 10.5 lakh additions during the ...",NATIONAL,https://www.thehindu.com/news/national/27-lakh-mgnrega-workers-deleted-between-october-10-and-november-14/article70287577.ece
India strengthens eastern defences with three new garrisons near Siliguri ‘Chicken’s Neck’,"Amid shifting regional dynamics following the change of regime in Bangladesh and concerns over China’s growing presence near the vulnerable Siliguri corridor, the Indian Army has reinforced its easter...",NATIONAL,https://www.thehindu.com/news/national/assam/india-strengthens-eastern-defences-with-three-new-garrisons-near-siliguri-chickens-neck/article70287683.ece
Saudi Arabia bus crash LIVE: Hyderabad families shattered as 45 pilgrims die,"A control room has also been set up at Telangana Bhavan, New Delhi, in connection with the tragic bus accident in Saudi Arabia involving Indian pilgrims travelling from Mecca to Medina. Senior officia...",NATIONAL,https://www.thehindu.com/news/national/saudi-arabia-bus-crash-live-updates-mecca-medina-november-17-2025/article70289464.ece
Supreme Court seeks Sahara’s response on amicus submission of 34 claims to properties SICCL wants to sell to Adani Properties,"The Supreme Court on Monday (November 17, 2025) allowed Sahara Group to respond to a representation made by amicus curiae, senior advocate Shekhar Naphade, that he has received “at least 34 claims” to...",NATIONAL,https://www.thehindu.com/news/national/supreme-court-seeks-saharas-response-on-amicus-submission-of-34-claims-to-properties-siccl-wants-to-sell-to-adani-properties/article70289614.ece
India to showcase defence prowess at Dubai Air Show 2025 from November 17,"Minister of State for Defence, Sanjay Seth will lead an Indian delegation to the Dubai Air Show 2025, which is set to take place from November 17-18, in the United Arab Emirates, the Ministry of Defen...",NATIONAL,https://www.thehindu.com/news/national/dubai-air-show-2025-november-17-2025-india-air-force/article70289586.ece
Bengal Governor to lead search operation at Raj Bhavan for “arms” post TMC MP's allegations,"West BengalGovernor C.V. Ananda Bose will lead a team of security personnel, who would carry out a search operation at the Raj Bhavan on Monday (November 17, 2025) in the wake of allegations by a TMC ...",NATIONAL,https://www.thehindu.com/news/national/west-bengal/bengal-governor-search-operation-raj-bhavan-november-17/article70289585.ece
BJP quelled discontent to ensure vote transfer among NDA allies,"Behindthe BJP and the NDA’s stunning victoryin the Bihar Assembly election is not just theoverwhelming support of women, who came out in large numbers to vote and surpassed men in many seats, but also...",NATIONAL,https://www.thehindu.com/elections/bihar-assembly/bihar-assembly-elections-2025-bjp-quelled-discontent-to-ensure-vote-transfer-among-nda-allies/article70280165.ece
Watch: Bihar poll results: NDA’s dominant win and what comes next | Talking Politics,Script & Presentation: Nistula Hebbar...,NATIONAL,https://www.thehindu.com/videos/watch-bihar-poll-results-ndas-dominant-win-and-what-comes-next-talking-politics/article70287402.ece
"Bihar poll outcome result of three ‘experiments’, claims Dipankar Bhattacharya","The opposition CPI(ML) Liberation general secretary Dipankar Bhattacharya on Sunday (November 16, 2025) claimed that theoutcome of the Bihar Assembly electionsis ""abnormal"" and it was the result of th...",NATIONAL,https://www.thehindu.com/elections/bihar-assembly/bihar-poll-outcome-result-of-three-experiments-claims-dipankar-bhattacharya/article70287021.ece
Jan Suraaj's poll debacle puts spotlight on political ‘startups’ that failed to become ‘unicorns’,The debacle of Prashant Kishor's Jan Suraaj party inthe Bihar Assembly electionshas put the spotlight on the phenomenon of several such political 'startups' sprouting in the crowded political battlegr...,NATIONAL,https://www.thehindu.com/elections/bihar-assembly/jan-suraajs-poll-debacle-puts-spotlight-on-political-startups-that-failed-to-become-unicorns/article70286929.ece
"Bihar CM Nitish Kumar likely to submit resignation on November 17, before NDA is sworn in again","Bihar Chief Minister Nitish Kumaris likely to submit his resignation to the Governor on Monday (November 17, 2025), before the formation of the new government. He is likely to be sworn in to power aga...",NATIONAL,https://www.thehindu.com/elections/bihar-assembly/bihar-cm-nitish-kumar-likely-to-submit-resignation-on-november-17/article70286714.ece
"Rohini Acharya again hits out at Tejashwi’s close aides, alleging they made her an orphan","After quitting politics and disowning her own family, Rashtriya Janata Dal (RJD) chief Lalu Prasad’s daughteronce again hit out at the close aides of party leader and her brother Tejashwi Yadav....",NATIONAL,https://www.thehindu.com/elections/bihar-assembly/rohini-acharya-again-hit-out-at-tejaswis-close-aides-alleging-they-made-her-an-orphan/article70286626.ece
Bihar Assembly Election Results 2025 at a glance: Infographics,The NDA has secured over 200 seats with the BJP emerging as the party with the highest number of seats under its belt. Here’s how Bihar’s Assembly has panned out....,NATIONAL,https://www.thehindu.com/elections/bihar-assembly/bihar-assembly-election-results-2025-nda-mahagathbandhan-at-a-glance/article70278523.ece
Battle for Bihar: Live analysis of election results as they unfold,"Beating the anti-incumbency factor in Bihar, Chief Minister Nitish Kumar led the National Democratic Alliance (NDA) to a huge win in the State Assembly election on Friday (November 14, 2025), with the...",NATIONAL,https://www.thehindu.com/elections/bihar-assembly/bihar-election-results-2025-live-update/article70276906.ece
"Government approves 17 projects with ₹7,172 crore investment under electronics component manufacturing scheme","The government on Monday (November 17, 2025) approved 17 projects entailing about ₹7,172 crore investment across six categories under theElectronics Component Manufacturing Scheme (ECMS), underlining ...",NATIONAL,https://www.thehindu.com/news/national/government-approves-17-projects-with-7172-crore-investment-under-electronics-component-manufacturing-scheme/article70289911.ece
SC hearing on Delhi air pollution: Supreme Court mandates combined action on stubble burning; directs Punjab and Haryana compliance with CAQM orders,"ASG Bhati says the CPCB has AQI detectors across Delhi, and readings are recorded every hour. The “highest of the highest” reading is accepted, and measures are taken accordingly. These are automated ...",NATIONAL,https://www.thehindu.com/news/national/supreme-court-stubble-burning-hearing-live-updates-delhi-air-pollution-november-17-2025/article70289344.ece
Jaishankar to meet Russian counterpart Lavrov to discuss bilateral ties,"External Affairs Minister S. Jaishankar is scheduled to meet his Russian counterpart Sergei Lavrov in Moscow on Monday (November 17, 2025) to discuss bilateral ties ahead of President Vladimir Putin’s...",NATIONAL,https://www.thehindu.com/news/national/jaishankar-to-meet-russian-counterpart-lavrov-to-discuss-bilateral-ties/article70287996.ece
"EAM Jaishankar meets Qatar’s top leadership, discusses bilateral ties, global issues","External Affairs Minister S. Jaishankar on Sunday (November 16, 2025) met Qatar’s top leadership in Doha and discussed major aspects of the bilateral relationship, including energy and trade, as well ...",NATIONAL,https://www.thehindu.com/news/national/eam-jaishankar-meets-qatars-top-leadership-discusses-bilateral-ties-global-issues/article70287452.ece
SIR is an assault on electoral democracy: CPI(M) Polit Bureau,"The ongoing Special Intensive Revision (SIR) of electoral rolls in 12 states constitutes a “calculated political project” by the BJP-RSS alliance, implemented through a “pliant” Election Commission of...",NATIONAL,https://www.thehindu.com/news/national/sir-is-an-assault-on-electoral-democracy-cpim-polit-bureau/article70287684.ece
